               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098105,            0.039045,            0.052416,          0.00020478,             0.07861,          0.00019309,          4.8694e-05,            0.082617,            0.019602,            0.046968,             0.07038,           0.0032911,           0.0032911
                   1,             0.08497,            0.038432,             0.04974,           0.0058585,            0.084179,           0.0044428,           0.0017534,            0.077887,            0.018736,            0.043916,            0.040314,           0.0065589,           0.0065589
                   2,            0.082295,            0.038151,            0.045748,             0.85064,            0.019157,           0.0082595,           0.0026615,            0.072222,            0.018426,            0.040938,            0.010183,           0.0097606,           0.0097606
                   3,            0.081515,            0.038644,            0.041811,             0.67944,              0.1437,            0.013399,           0.0027454,            0.069863,            0.028168,            0.042735,            0.009703,            0.009703,            0.009703
                   4,            0.080546,            0.038655,            0.038579,             0.87275,            0.051948,            0.034486,            0.010599,            0.071108,            0.018381,            0.034572,            0.009703,            0.009703,            0.009703
                   5,            0.078962,            0.038351,            0.036256,             0.86493,            0.031385,            0.021566,           0.0069631,            0.072635,            0.019356,            0.035426,            0.009604,            0.009604,            0.009604
                   6,            0.077996,            0.039016,            0.034901,             0.86788,            0.040043,            0.032119,           0.0095857,            0.067522,             0.01672,            0.031209,            0.009505,            0.009505,            0.009505
                   7,            0.075426,            0.038722,            0.031652,             0.88567,            0.063853,            0.052376,            0.013969,            0.062971,            0.017489,            0.030084,            0.009406,            0.009406,            0.009406
                   8,            0.073519,            0.039407,            0.028602,             0.70101,            0.052454,            0.016553,            0.004775,            0.069321,            0.018658,            0.038563,            0.009307,            0.009307,            0.009307
                   9,             0.07169,            0.039126,            0.025463,             0.59517,             0.18669,            0.082975,            0.026345,            0.057949,            0.019534,            0.028469,            0.009208,            0.009208,            0.009208
                  10,            0.070402,            0.040168,            0.023241,             0.60535,             0.17977,             0.10312,            0.032336,            0.059665,            0.025141,            0.025253,            0.009109,            0.009109,            0.009109
                  11,            0.068044,            0.039872,            0.019705,             0.62919,             0.18302,             0.12185,            0.040168,            0.056985,            0.023749,             0.01737,             0.00901,             0.00901,             0.00901
                  12,            0.065275,            0.040293,            0.017012,               0.415,             0.10506,            0.070807,            0.025556,            0.063358,            0.030179,            0.050057,            0.008911,            0.008911,            0.008911
                  13,            0.063198,            0.041047,            0.015067,             0.60035,             0.16489,             0.10304,            0.030149,            0.058993,            0.038867,            0.024184,            0.008812,            0.008812,            0.008812
                  14,            0.061852,            0.040917,            0.013011,             0.45101,             0.18859,             0.15095,            0.045932,             0.05659,            0.024129,            0.017458,            0.008713,            0.008713,            0.008713
                  15,            0.060139,            0.040253,            0.011301,             0.49713,             0.32131,             0.18393,            0.054046,            0.052677,            0.019672,             0.01396,            0.008614,            0.008614,            0.008614
                  16,            0.058648,            0.040345,            0.011237,             0.30555,             0.25288,             0.15814,            0.050561,            0.055772,            0.020492,            0.014573,            0.008515,            0.008515,            0.008515
                  17,             0.05804,            0.039808,           0.0093217,             0.43934,             0.39007,             0.27629,            0.091383,            0.050082,            0.018494,           0.0084667,            0.008416,            0.008416,            0.008416
                  18,             0.05663,            0.039812,            0.010016,             0.19401,             0.28482,             0.19149,            0.071297,            0.054422,            0.017305,            0.018156,            0.008317,            0.008317,            0.008317
                  19,            0.055989,            0.038735,           0.0093417,             0.44745,             0.27618,              0.1973,            0.067251,             0.05708,            0.019589,            0.015209,            0.008218,            0.008218,            0.008218
